G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Name,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB
9,0,1.1,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,Kevin Jones,0.0,0.1,0.0,0.0,0.0,,0.0,0.0,0.0
39,38,29.6,5.8,10.4,0.559,5.1,6.6,0.767,10.6,1.9,0.7,1.4,2.0,1.9,17.5,Kevin Love,0.7,2.1,0.354,5.1,8.3,0.611,0.595,3.6,7.0
79,77,31.8,7.2,15.5,0.462,6.8,8.0,0.841,4.5,1.7,1.7,0.4,2.9,2.1,23.3,Kevin Martin,2.2,6.4,0.346,4.9,9.1,0.542,0.533,0.9,3.5
124,95,25.5,2.2,4.8,0.453,2.2,2.8,0.756,2.0,5.0,0.9,0.1,2.2,1.5,6.7,Kevin Ollie,0.1,0.5,0.262,2.1,4.3,0.475,0.467,0.5,2.0
79,62,26.8,4.5,8.4,0.53,1.2,2.0,0.579,7.1,0.2,0.5,0.9,1.5,3.0,10.1,Kevin Willis,0.0,0.0,0.0,6.0,10.0,0.531,0.53,,
36,36,30.9,4.2,8.9,0.47,2.6,4.1,0.626,9.2,1.4,1.3,0.9,1.3,2.9,11.6,Kevon Looney,0.6,1.5,0.415,3.6,7.4,0.481,0.505,3.4,5.8
59,40,28.1,3.8,9.2,0.411,3.4,4.7,0.733,2.4,3.4,1.3,0.5,2.3,1.7,12.1,Keyon Dooling,1.1,3.4,0.338,2.6,5.8,0.452,0.472,0.8,1.9
108,106,30.1,5.4,12.9,0.416,2.7,3.3,0.822,3.0,4.4,1.7,0.1,2.7,2.1,15.3,Khalid El-amin,1.8,5.1,0.355,3.6,7.8,0.456,0.486,0.7,2.2
69.0,53.0,25.4,3.0,5.7,0.531,2.8,4.2,0.668,7.8,0.8,0.6,3.1,1.2,2.2,8.9,Khem Birch,0.0,0.0,,3.0,5.7,0.531,0.531,3.1,4.7
87,72,26.0,3.9,9.1,0.431,2.4,3.1,0.768,4.6,2.0,1.0,0.2,2.0,2.1,11.3,Khris Middleton,1.1,3.3,0.321,2.9,5.8,0.494,0.489,1.5,3.0
102,95,27.2,4.2,8.2,0.511,1.5,2.1,0.719,4.6,2.5,1.4,0.3,1.6,1.8,11.2,Khyri Thomas,1.3,3.2,0.406,2.9,5.1,0.578,0.589,1.1,3.5
141,106,24.2,3.7,8.7,0.42,2.1,2.9,0.727,3.0,1.4,1.1,0.2,1.7,1.8,11.1,Kim English,1.7,4.3,0.394,2.0,4.4,0.444,0.517,0.7,2.4
141,118,29.7,4.4,8.8,0.493,2.0,2.6,0.776,3.8,4.7,1.5,0.4,2.7,2.7,12.4,Kirk Hinrich,1.7,3.9,0.43,2.7,5.0,0.542,0.587,0.8,3.0
84,74,30.8,5.7,13.3,0.426,4.1,6.0,0.677,6.4,2.7,0.9,0.8,3.1,2.4,16.7,Kirk Snyder,1.3,4.1,0.31,4.4,9.3,0.477,0.473,2.3,4.1
98,96,34.4,6.1,14.4,0.424,3.2,3.9,0.827,4.8,2.6,1.3,0.8,2.9,2.5,17.9,Klay Thompson,2.5,6.3,0.39,3.6,8.1,0.45,0.509,0.9,3.9
37,19,23.5,3.0,7.6,0.395,1.9,2.4,0.775,1.6,2.0,0.6,0.1,1.2,1.9,8.7,Kobi Simmons,0.9,2.6,0.327,2.1,4.9,0.432,0.452,0.4,1.3
37,35,27.1,6.0,11.8,0.508,1.8,2.7,0.68,6.7,0.5,0.4,1.8,1.5,2.2,14.4,Kosta Koufos,0.6,1.7,0.349,5.4,10.1,0.535,0.533,2.6,4.0
95,83,31.5,4.5,9.9,0.45,3.1,4.5,0.693,5.1,5.8,2.2,0.4,3.3,2.9,12.8,Kris Dunn,0.8,2.2,0.354,3.7,7.8,0.476,0.488,1.1,4.0
29,28,34.1,7.6,17.2,0.444,5.9,7.9,0.742,10.1,0.7,0.9,1.1,2.8,2.2,21.7,Kris Humphries,0.6,1.7,0.34,7.0,15.4,0.455,0.461,3.1,7.0
87.0,54.0,23.7,6.6,12.7,0.524,3.9,5.7,0.682,9.0,1.2,1.0,1.9,2.2,3.3,17.4,Kurt Thomas,0.2,0.7,0.25,6.5,12.0,0.54,0.531,,
73.0,22.0,11.1,1.1,1.8,0.583,0.3,1.2,0.267,2.4,0.2,0.3,0.8,0.7,1.6,2.4,Kwame Brown,0.0,0.0,0.0,1.1,1.8,0.588,0.583,1.2,1.6
98,94,35.5,5.9,13.6,0.433,2.9,3.9,0.762,6.4,3.9,1.3,0.3,3.0,2.6,16.9,Ky Bowman,2.3,5.8,0.388,3.6,7.8,0.466,0.516,0.8,5.6
140,128,30.9,4.4,9.2,.477,3.2,4.9,.642,7.5,5.0,1.6,0.4,2.6,2.2,12.2,Kyle Collinsworth,0.2,0.8,.280,4.2,8.5,.495,.489,2.2,5.3
128,95,27.7,4.4,9.3,0.472,2.4,2.7,0.891,5.2,2.3,1.3,0.5,1.8,2.3,14.1,Kyle Korver,2.9,6.4,0.453,1.5,2.9,0.515,0.629,1.3,3.9
96,64,21.0,3.9,7.7,0.506,1.8,2.8,0.633,5.5,1.5,0.3,0.4,1.6,1.6,10.1,Kyle Kuzma,0.5,1.8,0.302,3.3,5.9,0.567,0.541,1.6,3.9
57,34,26.7,3.2,7.1,0.449,2.9,4.0,0.737,3.8,3.0,1.9,0.2,1.9,2.6,9.5,Kyle Lowry,0.2,0.7,0.325,2.9,6.4,0.463,0.465,1.4,2.4
148,147,33.0,5.5,12.7,0.433,3.4,4.3,0.773,6.9,2.0,1.1,0.7,2.1,2.6,16.2,Kyle Singler,1.8,5.0,0.363,3.7,7.7,0.479,0.504,2.4,4.4
121,103,29.8,3.3,7.2,0.464,2.6,3.6,0.716,4.7,3.8,1.6,0.8,2.6,2.0,9.6,Kyle Weaver,0.4,1.3,0.277,3.0,5.9,0.505,0.489,1.3,3.4
11,8,27.5,5.0,9.5,0.529,5.8,6.5,0.901,3.4,4.3,1.5,0.5,2.5,2.1,17.5,Kyrie Irving,1.6,3.5,0.462,3.4,5.9,0.569,0.615,0.5,2.8
53,53,30.2,5.2,8.9,0.586,3.0,4.7,0.649,8.2,0.6,1.3,1.8,1.6,2.7,13.5,Lamarcus Aldridge,0.0,0.0,,5.2,8.9,0.586,0.586,3.4,4.8
97,25.0,33.2,6.1,10.5,0.577,3.3,4.8,0.675,11.1,1.5,0.9,2.1,2.5,3.3,15.5,Laphonso Ellis,0.2,0.3,0.455,5.9,10.1,0.581,0.585,,
32,32,34.9,6.3,13.2,0.482,3.9,5.7,0.687,9.4,3.8,0.8,1.5,3.4,2.9,17.6,Lamar Odom,1.0,3.1,0.33,5.3,10.0,0.53,0.521,,
149,106,24.3,3.2,7.4,0.435,1.9,2.6,0.723,3.9,2.9,1.0,0.3,1.6,1.9,9.5,Lamar Patterson,1.1,3.1,0.369,2.1,4.3,0.483,0.513,1.2,2.8
88,77,30.6,7.3,15.0,0.489,3.4,4.8,0.713,6.8,1.8,1.3,0.9,2.6,2.3,19.2,Lamond Murray,1.1,3.3,0.337,6.2,11.6,0.533,0.527,,
34,32,28.2,4.8,10.8,0.44,2.3,3.5,0.664,5.4,2.5,0.9,0.2,2.4,1.9,12.3,Lance Stephenson,0.5,2.1,0.219,4.3,8.7,0.495,0.462,1.9,3.5
140,101,19.7,1.7,3.2,0.525,1.3,2.1,0.6,3.6,0.5,0.6,0.2,1.2,2.8,4.6,Lance Thomas,0.0,0.0,,1.7,3.2,0.525,0.525,1.8,1.8
129,65,23.6,3.9,8.4,0.463,2.3,3.3,0.676,5.0,1.6,0.9,0.4,1.5,1.6,10.8,Landry Fields,0.8,2.3,0.342,3.1,6.0,0.51,0.511,1.6,3.5
