Year,Player,Pos,Body Fat %,Hand Length,Hand Width (inches),Height Without Shoes,Height With Shoes,Standing Reach,Weight (lbs),Wingspan
2025-26,Ryan Kalkbrenner,C,-%,9.25,11.25,7' 1.00'',,9' 4.00'',257.4,7' 6.00''
2025-26,Karter Knox,SF,-%,9,9.5,6' 5.00'',,8' 6.50'',214.2,6' 10.25''
2025-26,Kon Knueppel,PG-SG,-%,8.5,9.75,6' 5.00'',,8' 5.50'',219,6' 6.25''
2025-26,Chaz Lanier,PG-SG,-%,8.5,9.75,6' 3.75'',,8' 5.50'',205.8,6' 9.00''
2025-26,Yaxel Lendeborg,PF,-%,9.25,10,6' 8.50'',,9' 0.50'',234.6,7' 4.00''
2025-26,RJ Luis Jr.,SF,-%,9,10,6' 5.75'',,8' 7.50'',210,6' 10.50''
2025-26,Khaman Maluach,C,-%,9.75,10.25,7' 0.75'',,9' 6.00'',252.8,7' 6.75''
2025-26,Bogoljub Markovic,PF,-%,8.25,9.75,6' 10.50'',,9' 2.00'',213.2,6' 11.50''
2025-26,Alijah Martin,SG,-%,8.25,9.25,6' 1.50'',,8' 3.50'',208.4,6' 7.50''
2025-26,Liam McNeeley,SF-PF,-%,8.75,10,6' 6.75'',,8' 3.50'',214.6,6' 8.50''
2025-26,Mackenzie Mgbako,SF-PF,-%,9,9.25,6' 7.50'',,8' 7.00'',216.4,6' 10.25''
2025-26,Jalon Moore,SF,-%,9,9.5,6' 6.25'',,8' 8.50'',203.4,6' 10.25''
2025-26,Collin Murray-Boyles,SF-PF,-%,8.5,10.25,6' 6.50'',,8' 10.00'',239.2,7' 0.75''
2025-26,Grant Nelson,PF,-%,9,9.75,6' 10.00'',,9' 1.00'',229.8,7' 0.00''
2025-26,Ryan Nembhard,PG,-%,9.5,8.25,5' 11.00'',,7' 10.00'',175.8,6' 2.25''
2025-26,Asa Newell,SF-PF,-%,9.25,10,6' 9.00'',,8' 11.50'',223.8,6' 11.25''
2025-26,Yanic Konan Niederhauser,C,-%,9.5,9,6' 11.25'',,9' 3.00'',242.6,7' 3.25''
2025-26,Lachlan Olbrich,PF,-%,10,9,6' 8.75'',,8' 11.50'',230.2,6' 11.25''
2025-26,Otega Oweh,SG,-%,8.5,9.5,6' 4.25'',,8' 5.50'',212.6,6' 8.50''
2025-26,Dink Pate,SG,-%,8.5,9,6' 6.25'',,8' 8.00'',200.8,6' 9.75''
2025-26,Micah Peavy,SF,-%,8.5,8.75,6' 6.25'',,8' 5.00'',211.6,6' 7.25''
2025-26,Noah Penda,PF,-%,8.25,9.75,6' 7.25'',,8' 10.50'',241.8,6' 11.50''
2025-26,Tahaad Pettiford,PG,-%,8.25,8.5,6' 0.25'',,8' 0.00'',168.8,6' 5.50''
2025-26,Labaron Philon,PG-SG,-%,8.5,9,6' 2.75'',,8' 3.50'',174.6,6' 6.25''
2025-26,Drake Powell,SF-PF,-%,8.75,10,6' 5.25'',,8' 7.00'',200.4,7' 0.00''
2025-26,Tyrese Proctor,PG-SG,-%,8.25,9,6' 4.25'',,8' 4.50'',183.2,6' 7.25''
2025-26,Derik Queen,C,-%,9,9.5,6' 9.25'',,9' 1.50'',247.8,7' 0.50''
2025-26,Maxime Raynaud,C,-%,9,10.25,7' 0.25'',,9' 2.00'',236.8,7' 1.25''
2025-26,Jase Richardson,PG-SG,-%,8.5,9.5,6' 0.50'',,8' 2.50'',178.4,6' 6.00''
2025-26,Will Riley,SF-PF,-%,8.5,9,6' 8.25'',,8' 8.00'',185.6,6' 8.75''
2025-26,Michael Ruzic,PF,-%,9,9.25,6' 11.00'',,9' 0.00'',221.4,7' 0.75''
2025-26,Hunter Sallis,SG,-%,8.5,9.75,6' 3.75'',,8' 4.00'',181.4,6' 10.00''
2025-26,Kobe Sanders,SF,-%,8.5,9.25,6' 7.00'',,8' 7.00'',203.2,6' 8.25''
2025-26,Ben Saraf,PG,-%,9.44,8.07,6' 6.00'',,8' 4.00'',199,6' 8.70''
2025-26,Mark Sears,PG,-%,8,8.75,5' 10.75'',,7' 8.50'',183.4,6' 2.00''
2025-26,Max Shulga,SG,-%,8,9.75,6' 4.25'',,8' 3.00'',206.4,6' 5.75''
2025-26,Javon Small,PG,-%,8.25,9.75,6' 1.00'',,8' 0.00'',190,6' 4.75''
2025-26,Thomas Sorber,C,-%,8.5,9,6' 9.25'',,9' 1.00'',262.8,7' 6.00''
2025-26,Adou Thiero,PG-SG,-%,9,10.25,6' 6.25'',,8' 8.50'',218.4,7' 0.00''
2025-26,John Tonje,SG,-%,9,9.5,6' 4.75'',,8' 6.50'',211.8,6' 9.00''
2025-26,Alex Toohey,SF,-%,9,10.25,6' 7.75'',,8' 8.50'',222.8,6' 10.75''
2025-26,Nolan Traoré,PG,-%,7.75,9.25,6' 3.00'',,8' 5.50'',175,6' 8.00''
2025-26,Milos Uzan,PG,-%,7.75,9,6' 3.25'',,8' 1.50'',186.4,6' 5.25''
2025-26,Jamir Watkins,SF,-%,9.25,9.75,6' 5.00'',,8' 6.50'',214.6,6' 11.25''
2025-26,Brice Williams,SG,-%,9,10.75,6' 5.25'',,8' 7.00'',205.8,6' 10.75''
2025-26,Darrion Williams,SF,-%,9,10.5,6' 4.50'',,8' 5.00'',236,6' 6.50''
2025-26,Danny Wolf,SF-PF,-%,9.25,9.75,6' 10.50'',,9' 1.00'',251.8,7' 2.25''
2025-26,Hansen Yang,C,-%,10,11.25,7' 1.00'',,9' 3.00'',252.6,7' 2.75''
2025-26,Rocco Zikarsky,C,-%,9,9.75,7' 3.00'',,9' 6.50'',257,7' 4.75''
2024-25,Michael Ajayi,SF,-%,9.5,9.75,6' 5.75'',,8' 10.50'',227.8,7' 0.75''
2024-25,Melvin Ajinca,SF,-%,8.5,9.75,6' 7.25'',,8' 10.5'',213.8,6' 7.5''
2024-25,Trey Alexander,SG,-%,8.75,10,6' 3.25'',,8' 5.50'',187,6' 10.50''
2024-25,Izan Almansa,C,-%,9.25,9.25,6' 9.25'',,9' 2.00'',219.6,7' 1.00''
2024-25,Reece Beekman,PG,-%,8.5,9,6' 1.25'',,8' 4.00'',196.4,6' 6.50''
2024-25,Adem Bona,C,-%,9.5,10,6' 8.25'',,9' 0.00'',243.2,7' 3.75''
2024-25,Trevon Brazile,PF,-%,9,10.25,6' 9.25'',,9' 0.50'',215,7' 3.75''
2024-25,Jalen Bridges,SF,-%,9,10,6' 6.75'',,8' 9.00'',213.4,6' 10.00''
2024-25,Matas Buzelis,SF,-%,8.5,9.25,6' 8.75'',,8' 9.50'',197,6' 10.00''
2024-25,Carlton Carrington,PG,-%,8.5,9.25,6' 3.75'',,8' 3.00'',194.8,6' 8.00''
2024-25,Devin Carter,SG,-%,8.75,9,6' 2.25'',,8' 2.00'',193,6' 8.75''
2024-25,Stephon Castle,SG,-%,8.75,8.75,6' 5.50'',,8' 6.00'',210,6' 9.00''
2024-25,Ulrich Chomche,C,-%,9.25,10.25,6' 10.25'',,9' 1.00'',232.4,7' 4.00''
2024-25,Cam Christie,SG,-%,8,8,6' 4.50'',,8' 5.50'',190.4,6' 8.00''
2024-25,Nique Clifford,SF,-%,8,9,6' 5.00'',,8' 6.00'',198.6,6' 8.00''
2024-25,Donovan Clingan,C,-%,10,10.25,7' 1.75'',,9' 7.00'',282,7' 6.75''
2024-25,Isaiah Collier,PG,-%,8.5,9,6' 2.50'',,8' 1.50'',204.6,6' 4.75''
2024-25,Tristan Da Silva,PF,-%,9,9.5,6' 8.25'',,8' 8.50'',216.8,6' 10.25''
