G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
35,35,30.8,3.2,8.4,0.382,1.1,3.5,0.317,2.1,4.9,0.429,0.449,1.7,2.1,0.824,0.9,2.6,3.5,1.5,0.5,0.5,1.5,1.1,9.3,Max Christie
90,90,28.3,6.6,11,0.596,0,0,0,6.6,11,0.596,0.596,4,6.5,0.623,3.4,6.2,9.6,0.5,0.6,1.2,2,2.5,17.2,Kofi Cockburn
33,5,25.8,3,6.5,0.463,0.8,2.5,0.301,2.2,4,0.565,0.521,1.8,2.5,0.728,1.1,3.7,4.8,4.3,1,0.4,2.9,1.2,8.5,Jd Davison
127,94,23.4,3.8,7.9,0.474,1.5,4.1,0.353,2.3,3.8,0.607,0.566,1.3,1.7,0.734,2.2,4.4,6.5,0.7,1,0.3,0.9,2.8,10.3,Darius Days
32,26,24.9,3.7,6.8,0.542,0.1,0.4,0.214,3.6,6.3,0.564,0.549,1.6,2.6,0.619,2.4,3.6,6,0.8,0.3,0.9,1.5,2.7,9,Moussa Diabate
29,29,25.3,4.9,8.1,0.597,0,0,0,4.9,8.1,0.6,0.597,2.2,3.6,0.625,3,5.2,8.1,1.3,0.8,2.1,2.2,2.7,12,Jalen Duren
56,12,22.4,4.6,9.1,0.504,0.6,1.9,0.327,4,7.2,0.551,0.538,3.2,4.2,0.757,2.3,4.1,6.3,1.1,1.6,1.2,2.2,2.7,13,Tari Eason
65,40,24.3,2.8,6.1,0.458,1.4,3.6,0.371,1.4,2.5,0.588,0.569,1.9,2.3,0.831,1.4,3.7,5.1,1.4,1.5,0.5,1.3,2.4,8.8,Keon Ellis
110,92,31.6,3.9,8.3,0.466,1.5,3.9,0.386,4,8,0.476,0.488,2.8,3.6,0.775,,,2.3,4,1.5,0.1,2.6,2.7,10.8,Michael Foster
156,125,28.9,3.8,8.9,0.422,2.1,5.4,0.387,1.7,3.5,0.475,0.538,2.3,2.7,0.848,0.3,2.6,2.9,3.1,1,0,1.4,2,11.9,Collin Gillespie
39,25,24,3.7,7.6,0.493,1.8,4.1,0.447,1.9,3.5,0.547,0.613,1.1,1.4,0.792,0.8,3.2,3.9,1,0.5,0.6,0.6,1.1,10.4,Aj Griffin
32,31,26.9,5.3,8.8,0.607,1.3,3.3,0.39,4,5.5,0.737,0.68,2.2,3.1,0.717,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,Chet Holmgren
102,98,30.7,4,9.7,0.41,1.3,3.9,0.345,2.6,5.8,0.454,0.479,1.8,2.9,0.624,2.1,5.1,7.2,2.9,1,0.4,1.9,1.8,11.1,Harrison Ingram
59,46,28.6,4.9,11.3,0.44,1.5,4.7,0.322,3.4,6.6,0.523,0.507,3.5,4.7,0.739,0.7,3.5,4.3,2.6,0.8,0.6,2.1,1.7,14.9,Jaden Ivey
126,126,32.5,6.7,11.9,0.565,0,0,0,6.7,11.9,0.566,0.565,4.4,6.5,0.676,2.8,6.3,9.1,2.2,0.7,2.1,1.9,1.9,17.9,Trayce Jackson-davis
85,57,25.5,4.3,10,0.431,1.3,3.8,0.352,3,6.2,0.479,0.498,1.6,1.8,0.853,0.7,2.9,3.6,1.2,0.6,0.2,1.2,1.6,11.6,Johnny Juzang
36,26,30.2,4.1,9.8,0.419,1.5,4.8,0.312,2.6,4.9,0.522,0.496,1.8,2.7,0.67,0.8,2.6,3.4,2.7,1.2,0.1,1.3,1.3,11.5,Trevor Keels
63,34,17.9,3.4,5.7,0.601,0.2,0.9,0.204,3.2,4.8,0.671,0.616,1.2,2.1,0.577,2.1,3.7,5.8,0.6,0.8,2.9,0.8,2,8.2,Walker Kessler
91,56,17.9,2.9,4.9,0.59,0,0.1,0,2.9,4.8,0.597,0.59,1.6,2.3,0.67,2,3.1,5.1,0.7,0.5,1.8,0.9,2.3,7.3,Christian Koloko
88,83,29.5,4.3,8.3,0.524,0.6,1.5,0.371,3.8,6.8,0.558,0.558,3,4,0.743,2.3,4,6.3,2.6,1.2,1,2.2,2.9,12.2,Jake Laravia
53,33,27.8,4.9,11.2,0.434,1.2,3.7,0.328,3.6,7.5,0.487,0.489,2.2,3.2,0.704,1.5,5.4,6.9,1.3,0.8,0.6,1.7,2.1,13.2,Justin Lewis
114,99,30.8,4.2,9.6,0.435,1.2,3.4,0.346,3,6.1,0.486,0.498,1.6,2.4,0.67,2.3,4.5,6.7,1.3,0.9,0.4,1.7,2.1,11.1,Tyrese Martin
63,49,29.4,4.9,10.7,0.456,1.9,5,0.383,2.9,5.6,0.521,0.546,3.2,4.1,0.789,1.3,4,5.3,2,0.9,0.2,1.5,1.8,14.8,Bennedict Mathurin
159,66,17.8,2.8,6.8,0.413,1.1,3.3,0.339,1.7,3.5,0.481,0.494,1.3,1.8,0.689,0.9,2.7,3.6,0.9,0.8,0.5,1,1.7,8,Matthew Mayer
31,31,33.3,5.2,12.8,0.403,1.3,4.7,0.274,3.9,8.1,0.478,0.453,5.2,6.3,0.831,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2,16.8,Bryce Mcgowens
31,31,32.2,4.6,12.2,0.379,0.6,1.9,0.31,4,10.3,0.392,0.403,3.9,5.5,0.722,3.2,5,8.2,1.8,1.6,0.6,2.2,2.6,13.7,Aminu Mohammed
95,71,27.5,4.8,10.2,0.468,0.9,2.6,0.346,3.9,7.6,0.509,0.511,3.1,3.7,0.831,0.4,2.2,2.6,2.4,0.8,0.2,1.9,1.6,13.5,Iverson Molinar
66,39,25.4,5.9,10.9,0.543,1.2,3.3,0.373,4.7,7.6,0.618,0.6,2.8,3.7,0.749,2.3,4.7,7,1,1.1,1.6,0.9,1.9,15.8,Keegan Murray
131,115,32.1,3.7,8.3,0.446,1.1,3.3,0.343,2.6,5,0.515,0.515,1.4,1.8,0.79,0.2,2.7,2.9,5.3,1.2,0.1,2,1.8,10,Andrew Nembhard
122,72,26,3.6,8.8,0.407,1,3.2,0.312,2.6,5.6,0.461,0.464,2.2,2.9,0.754,1.3,4.2,5.5,1.1,1,0.4,1.2,1.9,10.4,Jared Rhoden
